keyword,phase,target_url,country,local_target,devices,status,publication_condition
"diseño web girona","local","https://www.palsec.agency/es/diseno-web-girona","Spain","Girona when supported","desktop and mobile when supported","prepared_not_account_verified",""
"diseño paginas web girona","local","https://www.palsec.agency/es/diseno-web-girona","Spain","Girona when supported","desktop and mobile when supported","prepared_not_account_verified",""
"agencia diseño web girona","local","https://www.palsec.agency/es/diseno-web-girona","Spain","Girona when supported","desktop and mobile when supported","prepared_not_account_verified",""
"desarrollo web girona","local","https://www.palsec.agency/es/desarrollo-web-girona","Spain","Girona when supported","desktop and mobile when supported","prepared_not_account_verified",""
"branding girona","local","https://www.palsec.agency/es/branding-girona","Spain","Girona when supported","desktop and mobile when supported","prepared_not_account_verified",""
"agencia branding girona","local","https://www.palsec.agency/es/branding-girona","Spain","Girona when supported","desktop and mobile when supported","prepared_not_account_verified",""
"diseño grafico girona","local","https://www.palsec.agency/es/diseno-grafico-girona","Spain","Girona when supported","desktop and mobile when supported","prepared_not_account_verified",""
"diseño web restaurantes","sector_condicional","https://www.palsec.agency/es/diseno-web-restaurantes","Spain","not configured","not configured","proposed_url_not_published","Confirmar oferta y evidencia web; El Xiringuito acredita identidad de restaurante pero no una web entregada"
"diseño web inmobiliarias","sector_condicional","https://www.palsec.agency/es/diseno-web-inmobiliarias","Spain","not configured","not configured","proposed_url_not_published","Confirmar oferta y conocimiento sectorial con caso verificable o demostracion identificada; no consta caso web inmobiliario acreditado"
"diseño web hoteles","sector_condicional","https://www.palsec.agency/es/diseno-web-hoteles","Spain","not configured","not configured","proposed_url_not_published","Confirmar oferta y conocimiento sectorial con caso verificable o demostracion identificada; no consta caso web hotelero acreditado"
